"table","relation_count","related_facts"
"assignment_dim",22,"assignment_fact,assignment_override_fact,assignment_override_user_fact,assignment_override_user_rollup_fact,discussion_entry_fact,discussion_topic_fact,file_fact,learning_outcome_question_result_fact,learning_outcome_result_fact,module_completion_requirement_fact,module_item_fact,module_progression_completion_requirement_fact,quiz_fact,quiz_question_answer_fact,quiz_question_fact,quiz_question_group_fact,quiz_submission_fact,quiz_submission_historical_fact,submission_comment_fact,submission_fact,submission_file_fact,requests"
"assignment_fact",107,"assignment_dim,course_dim,account_dim,enrollment_term_dim,assignment_group_dim,external_tool_activation_dim"
"assignment_override_fact",148,"account_dim,assignment_dim,assignment_group_dim,course_dim,course_section_dim,enrollment_term_dim,group_dim,account_dim,course_dim,quiz_dim,wiki_dim"
"assignment_override_user_fact",125,"assignment_override_user_dim,account_dim,assignment_group_dim,assignment_dim,course_dim,enrollment_term_dim,quiz_dim,user_dim"
"assignment_override_user_rollup_fact",225,"assignment_dim,assignment_override_dim,assignment_override_user_dim,assignment_group_dim,course_dim,account_dim,course_section_dim,enrollment_dim,enrollment_term_dim,group_dim,account_dim,wiki_dim,course_dim,quiz_dim,user_dim"
"discussion_entry_fact",169,"discussion_entry_dim,discussion_entry_dim,user_dim,discussion_topic_dim,course_dim,enrollment_term_dim,account_dim,user_dim,assignment_dim,user_dim,enrollment_rollup_dim"
"discussion_topic_fact",163,"discussion_topic_dim,course_dim,enrollment_term_dim,account_dim,user_dim,assignment_dim,user_dim,enrollment_rollup_dim,group_dim,course_dim,account_dim,account_dim"
"file_fact",277,"file_dim,account_dim,assignment_dim,assignment_group_dim,conversation_dim,user_dim,conversation_message_dim,course_dim,enrollment_rollup_dim,enrollment_term_dim,file_dim,user_dim,group_dim,quiz_dim,quiz_submission_dim,file_dim,file_dim,submission_dim,user_dim,user_dim,wiki_dim"
"learning_outcome_question_result_fact",161,"learning_outcome_question_result_dim,learning_outcome_result_dim,learning_outcome_dim,user_dim,account_dim,course_dim,enrollment_term_dim,assignment_dim,quiz_dim"
"learning_outcome_result_fact",124,"learning_outcome_result_dim,account_dim,course_dim,enrollment_term_dim,assignment_dim,quiz_dim,learning_outcome_dim,user_dim"
"module_completion_requirement_fact",241,"module_completion_requirement_dim,account_dim,assignment_dim,assignment_group_dim,course_dim,discussion_topic_dim,user_dim,enrollment_rollup_dim,enrollment_term_dim,file_dim,module_dim,module_item_dim,quiz_dim,user_dim,wiki_dim,wiki_page_dim"
"module_item_fact",207,"module_item_dim,account_dim,assignment_dim,assignment_group_dim,course_dim,discussion_topic_dim,user_dim,enrollment_rollup_dim,enrollment_term_dim,file_dim,module_dim,quiz_dim,user_dim,wiki_dim,wiki_page_dim"
"module_progression_completion_requirement_fact",276,"module_progression_completion_requirement_dim,account_dim,assignment_dim,assignment_group_dim,course_dim,discussion_topic_dim,user_dim,enrollment_rollup_dim,enrollment_term_dim,file_dim,module_dim,module_item_dim,module_progression_dim,quiz_dim,user_dim,wiki_dim,wiki_page_dim"
"quiz_fact",66,"quiz_dim,course_dim,assignment_dim,account_dim,enrollment_term_dim"
"quiz_question_answer_fact",127,"quiz_question_answer_dim,quiz_question_dim,quiz_question_dim,quiz_dim,course_dim,assignment_dim,account_dim,enrollment_term_dim"
"quiz_question_fact",108,"quiz_question_dim,quiz_dim,quiz_question_group_dim,course_dim,assignment_dim,account_dim,enrollment_term_dim"
"quiz_question_group_fact",90,"quiz_question_group_dim,quiz_dim,course_dim,assignment_dim,account_dim,enrollment_term_dim"
"quiz_submission_fact",132,"course_dim,enrollment_term_dim,account_dim,quiz_dim,assignment_dim,user_dim,submission_dim,enrollment_rollup_dim,quiz_submission_dim"
"quiz_submission_historical_fact",143,"course_dim,enrollment_term_dim,account_dim,quiz_dim,assignment_dim,user_dim,submission_dim,enrollment_rollup_dim,quiz_submission_historical_dim"
"submission_comment_fact",113,"submission_comment_dim,submission_dim,user_dim,user_dim,assignment_dim,course_dim,enrollment_term_dim,account_dim"
"submission_fact",193,"submission_dim,assignment_dim,course_dim,enrollment_term_dim,user_dim,user_dim,account_dim,enrollment_rollup_dim,account_dim,assignment_group_dim,group_dim,quiz_dim,quiz_submission_dim,wiki_dim"
"submission_file_fact",87,"file_dim,submission_dim,assignment_dim,user_dim,user_dim,course_dim,enrollment_term_dim"
"requests",102,"user_dim,course_dim,account_dim,quiz_dim,discussion_topic_dim,conversation_dim,assignment_dim,user_dim"
"course_dim",49,"assignment_fact,assignment_group_fact,assignment_group_score_fact,assignment_override_fact,assignment_override_fact,assignment_override_user_fact,assignment_override_user_rollup_fact,assignment_override_user_rollup_fact,catalog_product_fact,catalog_program_requirement_fact,conference_fact,conference_participant_fact,conversation_message_participant_fact,course_score_fact,course_ui_navigation_item_fact,discussion_entry_fact,discussion_topic_fact,discussion_topic_fact,enrollment_fact,external_tool_activation_fact,file_fact,grading_period_fact,grading_period_score_fact,group_fact,group_membership_fact,learning_outcome_fact,learning_outcome_group_association_fact,learning_outcome_group_fact,learning_outcome_question_result_fact,learning_outcome_result_fact,learning_outcome_rubric_criterion_fact,module_completion_requirement_fact,module_fact,module_item_fact,module_prerequisite_fact,module_progression_completion_requirement_fact,module_progression_fact,quiz_fact,quiz_question_answer_fact,quiz_question_fact,quiz_question_group_fact,quiz_submission_fact,quiz_submission_historical_fact,submission_comment_fact,submission_fact,submission_file_fact,wiki_fact,wiki_page_fact,requests"
"assignment_group_fact",31,"assignment_group_dim,course_dim"
"assignment_group_score_fact",58,"account_dim,course_dim,assignment_group_dim,enrollment_dim"
"catalog_product_fact",74,"catalog_product_dim,catalog_dim,catalog_dim,course_dim,enrollment_term_dim"
"catalog_program_requirement_fact",62,"catalog_dim,catalog_product_dim,catalog_product_dim,course_dim"
"conference_fact",47,"conference_dim,group_dim,course_dim,account_dim"
"conference_participant_fact",83,"conference_participant_dim,group_dim,course_dim,account_dim,user_dim,conference_dim"
"conversation_message_participant_fact",137,"conversation_message_dim,conversation_dim,user_dim,course_dim,enrollment_term_dim,account_dim,group_dim,account_dim,enrollment_rollup_dim"
"course_score_fact",37,"account_dim,course_dim,enrollment_dim"
"course_ui_navigation_item_fact",145,"account_dim,course_ui_navigation_item_dim,course_ui_canvas_navigation_dim,external_tool_activation_dim,course_dim,account_dim,enrollment_term_dim"
"enrollment_fact",85,"enrollment_dim,user_dim,course_dim,enrollment_term_dim,account_dim,course_section_dim"
"external_tool_activation_fact",95,"external_tool_activation_dim,course_dim,account_dim,account_dim,enrollment_term_dim,account_dim"
"grading_period_fact",47,"grading_period_group_dim,account_dim,course_dim"
"grading_period_score_fact",56,"account_dim,course_dim,enrollment_dim,grading_period_dim"
"group_fact",85,"group_dim,course_dim,account_dim,account_dim,enrollment_term_dim,account_dim,wiki_dim"
"group_membership_fact",94,"group_dim,course_dim,account_dim,account_dim,enrollment_term_dim,user_dim,group_membership_dim"
"learning_outcome_fact",42,"account_dim,course_dim,enrollment_term_dim"
"learning_outcome_group_association_fact",90,"learning_outcome_dim,learning_outcome_group_dim,account_dim,course_dim,enrollment_term_dim"
"learning_outcome_group_fact",89,"learning_outcome_group_dim,account_dim,course_dim,enrollment_term_dim,group_dim,group_dim"
"learning_outcome_rubric_criterion_fact",101,"learning_outcome_rubric_criterion_dim,learning_outcome_dim,account_dim,course_dim,enrollment_term_dim"
"module_fact",62,"module_dim,account_dim,course_dim,enrollment_term_dim,wiki_dim"
"module_prerequisite_fact",106,"module_prerequisite_dim,account_dim,course_dim,enrollment_term_dim,module_dim,module_dim,wiki_dim,wiki_dim"
"module_progression_fact",94,"module_progression_dim,account_dim,course_dim,enrollment_term_dim,module_dim,user_dim,wiki_dim"
"wiki_fact",97,"wiki_dim,course_dim,group_dim,account_dim,account_dim,account_dim,account_dim,enrollment_term_dim"
"wiki_page_fact",120,"wiki_page_dim,wiki_dim,course_dim,group_dim,account_dim,account_dim,user_dim,account_dim,account_dim,enrollment_term_dim"
"account_dim",61,"assignment_fact,assignment_group_score_fact,assignment_override_fact,assignment_override_fact,assignment_override_user_fact,assignment_override_user_rollup_fact,assignment_override_user_rollup_fact,conference_fact,conference_participant_fact,conversation_message_participant_fact,conversation_message_participant_fact,course_score_fact,course_ui_navigation_item_fact,course_ui_navigation_item_fact,discussion_entry_fact,discussion_topic_fact,discussion_topic_fact,discussion_topic_fact,enrollment_fact,external_tool_activation_fact,external_tool_activation_fact,external_tool_activation_fact,file_fact,grading_period_fact,grading_period_score_fact,group_fact,group_fact,group_fact,group_membership_fact,group_membership_fact,learning_outcome_fact,learning_outcome_group_association_fact,learning_outcome_group_fact,learning_outcome_question_result_fact,learning_outcome_result_fact,learning_outcome_rubric_criterion_fact,module_completion_requirement_fact,module_fact,module_item_fact,module_prerequisite_fact,module_progression_completion_requirement_fact,module_progression_fact,pseudonym_fact,quiz_fact,quiz_question_answer_fact,quiz_question_fact,quiz_question_group_fact,quiz_submission_fact,quiz_submission_historical_fact,submission_comment_fact,submission_fact,submission_fact,wiki_fact,wiki_fact,wiki_fact,wiki_fact,wiki_page_fact,wiki_page_fact,wiki_page_fact,wiki_page_fact,requests"
"pseudonym_fact",34,"pseudonym_dim,user_dim,account_dim"
"enrollment_term_dim",37,"assignment_fact,assignment_override_fact,assignment_override_user_fact,assignment_override_user_rollup_fact,catalog_product_fact,conversation_message_participant_fact,course_ui_navigation_item_fact,discussion_entry_fact,discussion_topic_fact,enrollment_fact,external_tool_activation_fact,file_fact,group_fact,group_membership_fact,learning_outcome_fact,learning_outcome_group_association_fact,learning_outcome_group_fact,learning_outcome_question_result_fact,learning_outcome_result_fact,learning_outcome_rubric_criterion_fact,module_completion_requirement_fact,module_fact,module_item_fact,module_prerequisite_fact,module_progression_completion_requirement_fact,module_progression_fact,quiz_fact,quiz_question_answer_fact,quiz_question_fact,quiz_question_group_fact,quiz_submission_fact,quiz_submission_historical_fact,submission_comment_fact,submission_fact,submission_file_fact,wiki_fact,wiki_page_fact"
"assignment_group_dim",11,"assignment_fact,assignment_group_fact,assignment_group_score_fact,assignment_override_fact,assignment_override_user_fact,assignment_override_user_rollup_fact,file_fact,module_completion_requirement_fact,module_item_fact,module_progression_completion_requirement_fact,submission_fact"
"external_tool_activation_dim",3,"assignment_fact,course_ui_navigation_item_fact,external_tool_activation_fact"
"enrollment_dim",5,"assignment_group_score_fact,assignment_override_user_rollup_fact,course_score_fact,enrollment_fact,grading_period_score_fact"
"course_section_dim",3,"assignment_override_fact,assignment_override_user_rollup_fact,enrollment_fact"
"group_dim",14,"assignment_override_fact,assignment_override_user_rollup_fact,conference_fact,conference_participant_fact,conversation_message_participant_fact,discussion_topic_fact,file_fact,group_fact,group_membership_fact,learning_outcome_group_fact,learning_outcome_group_fact,submission_fact,wiki_fact,wiki_page_fact"
"quiz_dim",17,"assignment_override_fact,assignment_override_user_fact,assignment_override_user_rollup_fact,file_fact,learning_outcome_question_result_fact,learning_outcome_result_fact,module_completion_requirement_fact,module_item_fact,module_progression_completion_requirement_fact,quiz_fact,quiz_question_answer_fact,quiz_question_fact,quiz_question_group_fact,quiz_submission_fact,quiz_submission_historical_fact,submission_fact,requests"
"wiki_dim",14,"assignment_override_fact,assignment_override_user_rollup_fact,file_fact,group_fact,module_completion_requirement_fact,module_fact,module_item_fact,module_prerequisite_fact,module_prerequisite_fact,module_progression_completion_requirement_fact,module_progression_fact,submission_fact,wiki_fact,wiki_page_fact"
"assignment_override_user_dim",2,"assignment_override_user_fact,assignment_override_user_rollup_fact"
"user_dim",38,"assignment_override_user_fact,assignment_override_user_rollup_fact,catalog_order_fact,communication_channel_fact,conference_participant_fact,conversation_message_participant_fact,discussion_entry_fact,discussion_entry_fact,discussion_entry_fact,discussion_topic_fact,discussion_topic_fact,enrollment_fact,file_fact,file_fact,file_fact,file_fact,group_membership_fact,learning_outcome_question_result_fact,learning_outcome_result_fact,module_completion_requirement_fact,module_completion_requirement_fact,module_item_fact,module_item_fact,module_progression_completion_requirement_fact,module_progression_completion_requirement_fact,module_progression_fact,pseudonym_fact,quiz_submission_fact,quiz_submission_historical_fact,submission_comment_fact,submission_comment_fact,submission_fact,submission_fact,submission_file_fact,submission_file_fact,wiki_page_fact,requests,requests"
"catalog_order_fact",50,"catalog_order_dim,catalog_dim,catalog_dim,user_dim"
"communication_channel_fact",34,"communication_channel_dim,user_dim"
"assignment_override_dim",1,"assignment_override_user_rollup_fact"
"catalog_order_dim",4,"catalog_order_fact,catalog_order_item_fact,catalog_order_item_fact,catalog_payment_fact"
"catalog_dim",11,"catalog_order_fact,catalog_order_fact,catalog_order_item_fact,catalog_order_item_fact,catalog_payment_fact,catalog_payment_fact,catalog_product_fact,catalog_product_fact,catalog_program_requirement_fact,catalog_promotion_fact,catalog_promotion_fact"
"catalog_order_item_fact",99,"catalog_order_dim,catalog_dim,catalog_dim,catalog_order_dim,catalog_product_dim,catalog_product_dim"
"catalog_payment_fact",61,"catalog_payment_dim,catalog_dim,catalog_dim,catalog_order_dim"
"catalog_promotion_fact",65,"catalog_promotion_dim,catalog_dim,catalog_dim,catalog_product_dim"
"catalog_product_dim",6,"catalog_order_item_fact,catalog_order_item_fact,catalog_product_fact,catalog_program_requirement_fact,catalog_program_requirement_fact,catalog_promotion_fact"
"catalog_payment_dim",1,"catalog_payment_fact"
"catalog_promotion_dim",1,"catalog_promotion_fact"
"communication_channel_dim",1,"communication_channel_fact"
"conference_dim",2,"conference_fact,conference_participant_fact"
"conference_participant_dim",1,"conference_participant_fact"
"conversation_message_dim",2,"conversation_message_participant_fact,file_fact"
"conversation_dim",3,"conversation_message_participant_fact,file_fact,requests"
"enrollment_rollup_dim",10,"conversation_message_participant_fact,discussion_entry_fact,discussion_topic_fact,file_fact,module_completion_requirement_fact,module_item_fact,module_progression_completion_requirement_fact,quiz_submission_fact,quiz_submission_historical_fact,submission_fact"
"course_ui_navigation_item_dim",1,"course_ui_navigation_item_fact"
"course_ui_canvas_navigation_dim",1,"course_ui_navigation_item_fact"
"discussion_entry_dim",2,"discussion_entry_fact,discussion_entry_fact"
"discussion_topic_dim",6,"discussion_entry_fact,discussion_topic_fact,module_completion_requirement_fact,module_item_fact,module_progression_completion_requirement_fact,requests"
"file_dim",8,"file_fact,file_fact,file_fact,file_fact,module_completion_requirement_fact,module_item_fact,module_progression_completion_requirement_fact,submission_file_fact"
"quiz_submission_dim",3,"file_fact,quiz_submission_fact,submission_fact"
"submission_dim",6,"file_fact,quiz_submission_fact,quiz_submission_historical_fact,submission_comment_fact,submission_fact,submission_file_fact"
"grading_period_group_dim",1,"grading_period_fact"
"grading_period_dim",1,"grading_period_score_fact"
"group_membership_dim",1,"group_membership_fact"
"learning_outcome_dim",4,"learning_outcome_group_association_fact,learning_outcome_question_result_fact,learning_outcome_result_fact,learning_outcome_rubric_criterion_fact"
"learning_outcome_group_dim",2,"learning_outcome_group_association_fact,learning_outcome_group_fact"
"learning_outcome_question_result_dim",1,"learning_outcome_question_result_fact"
"learning_outcome_result_dim",2,"learning_outcome_question_result_fact,learning_outcome_result_fact"
"learning_outcome_rubric_criterion_dim",1,"learning_outcome_rubric_criterion_fact"
"module_completion_requirement_dim",1,"module_completion_requirement_fact"
"module_dim",7,"module_completion_requirement_fact,module_fact,module_item_fact,module_prerequisite_fact,module_prerequisite_fact,module_progression_completion_requirement_fact,module_progression_fact"
"module_item_dim",3,"module_completion_requirement_fact,module_item_fact,module_progression_completion_requirement_fact"
"wiki_page_dim",4,"module_completion_requirement_fact,module_item_fact,module_progression_completion_requirement_fact,wiki_page_fact"
"module_prerequisite_dim",1,"module_prerequisite_fact"
"module_progression_completion_requirement_dim",1,"module_progression_completion_requirement_fact"
"module_progression_dim",2,"module_progression_completion_requirement_fact,module_progression_fact"
"pseudonym_dim",1,"pseudonym_fact"
"quiz_question_answer_dim",1,"quiz_question_answer_fact"
"quiz_question_dim",3,"quiz_question_answer_fact,quiz_question_answer_fact,quiz_question_fact"
"quiz_question_group_dim",2,"quiz_question_fact,quiz_question_group_fact"
"quiz_submission_historical_dim",1,"quiz_submission_historical_fact"
"submission_comment_dim",1,"submission_comment_fact"
